customer_id,age,annual_income,purchase_frequency,avg_order_value,product_category,customer_lifetime_value,account_age_months,reviews_count,return_rate,email_engagement
1,56,23343,17,370.59326046604116,Electronics,6177.942489124612,29,1,0.22893250908039248,High
2,69,33500,5,425.5827667787729,Sports,759.8552015508307,45,25,0.24694824921265776,Low
3,46,73222,29,70.16067593472717,Sports,5232.2394172575205,49,12,0.2666662272010889,Low
4,32,49375,4,439.457597178894,Electronics,1586.6731080887123,35,46,0.16335173071476838,Low
5,60,29662,10,325.0335261709841,Home,7400.594310342707,40,30,0.06133826581641354,Low
6,25,36964,17,354.9336062178696,Books,5170.997016045478,14,33,0.07659272295117948,Medium
7,38,133429,10,456.20576173474893,Books,6834.255014162698,35,38,0.08870840221248126,Medium
8,56,141692,17,316.13302281119303,Sports,512.5617159636042,48,2,0.17814074424288465,High
9,36,79638,20,174.5742700034192,Books,939.4409588534519,45,7,0.009842887238582532,High
10,40,93666,24,414.3025923971033,Electronics,7191.601541820554,20,22,0.19081274063399048,High
11,28,105067,5,187.89901397559436,Electronics,813.6349263868664,56,13,0.1093062715284696,High
12,28,138937,34,26.77177430205927,Sports,805.4416048760601,49,26,0.08857254074689265,Low
13,41,87215,6,417.02070821697237,Sports,219.87390482538575,13,28,0.2638489712184379,Medium
14,53,89042,2,179.14415099182503,Sports,9569.363843164852,38,38,0.13800071867423966,Medium
15,57,33284,13,389.17891636865676,Home,7401.332758644169,49,38,0.028515913659807834,High
16,41,92789,43,187.75136838631326,Books,3597.188944170435,46,0,0.2480240304078741,High
17,20,104664,43,431.92332978761357,Sports,3035.702254747787,49,16,0.01429237723095198,Low
18,39,113468,48,117.56015728966976,Clothing,3562.0619744839105,8,40,0.218024767250459,Low
19,19,81389,11,487.5281599474463,Clothing,7769.069958693701,43,29,0.23217186653119953,High
20,41,29435,47,392.0817996461351,Electronics,6647.569049597102,20,12,0.10578078177865745,Medium
21,61,74340,23,65.97658370099444,Books,1933.4361218879326,33,20,0.247436356883336,Medium
22,47,64078,16,287.2305437836146,Sports,1823.682419807435,26,18,0.15469782175693603,Medium
23,55,98832,31,492.82998299845,Clothing,1074.1169321626335,39,18,0.13898809598183903,High
24,19,71293,11,240.82207181996904,Books,6636.996925043248,21,24,0.013620984440607763,Medium
25,38,115981,16,99.2324980225758,Electronics,7667.289355995186,53,21,0.08700875809467176,Low
26,50,98781,8,247.54139990366963,Home,2723.95964041754,49,30,0.27930299126558994,Low
27,29,80403,4,261.10425138214157,Books,307.35511420603683,42,16,0.11754718898505,High
28,39,49124,40,373.4266026720461,Books,913.4995080166307,43,22,0.1640101561670305,Low
29,61,115435,4,352.43446804884314,Home,9681.814344965802,54,31,0.15960650369527554,High
30,42,63919,25,207.24952136252045,Books,3024.9032970264607,41,9,0.177129326946808,Medium
31,66,128761,3,116.83132267210237,Electronics,7715.3091635975225,9,9,0.018399286692984785,Medium
32,44,141305,32,326.07654220697145,Electronics,6284.169331657211,24,35,0.10865287643961848,Medium
33,59,55247,3,216.63492793110808,Home,3881.2024325636694,37,7,0.21693848216476624,Low
34,45,141172,27,74.81534345141189,Sports,2136.303895735996,49,19,0.06016807532189487,High
35,33,114758,29,451.28042760582895,Clothing,1301.7255397781237,41,31,0.06107351326390813,Medium
36,32,111747,32,348.69871022873065,Sports,6188.62838358478,17,49,0.0030271820067074183,High
37,64,82752,19,344.7600896582859,Books,7768.874428314101,24,13,0.13124457798246292,Medium
38,68,76573,21,413.06609919672024,Clothing,6474.652110057194,21,49,0.2648203142020266,Low
39,61,79101,5,269.53422254098973,Home,5349.991119166667,51,27,0.015570283076192702,Low
40,69,122756,18,409.37666991720397,Home,515.317111973199,59,45,0.05733561284880079,High
41,20,46646,28,254.06446922039282,Clothing,9688.038898184399,39,23,0.09302536150282652,Low
42,54,124185,42,42.91594595869795,Electronics,8007.270497380288,55,14,0.21951742096926385,Low
43,68,43049,22,208.57156313356748,Clothing,2998.938163339551,41,21,0.19219067784077595,High
44,24,99605,21,253.7577980501464,Books,9801.706260652621,39,29,0.12478317137455651,Medium
